doi:10.7910/DVN/JXXNDO	all	ok
doi:10.7910/DVN/FXKA3J	all	ok
doi:10.7910/DVN/O3ETO9	all	ok
doi:10.7910/DVN/KKS1R0	all	ok
doi:10.7910/DVN/XRBKEY	all	ok
doi:10.7910/DVN/IJKAUR	all	ok
doi:10.7910/DVN/HXNVTQ	all	ok
doi:10.7910/DVN/VT4KJA	all	ok
doi:10.7910/DVN/GOWG6K	all	ok
doi:10.7910/DVN/YDCL7Z	all	ok
doi:10.7910/DVN/IVPBRF	all	ok
doi:10.7910/DVN/RXYHGK	all	ok
doi:10.7910/DVN/DCYDHS	all	ok
doi:10.7910/DVN/2RORMS	all	ok
doi:10.7910/DVN/RTB1IG	all	ok
doi:10.7910/DVN/CECD9V	all	ok
doi:10.7910/DVN/EPBPMJ	all	ok
doi:10.7910/DVN/ONSPYO	all	ok
doi:10.7910/DVN/NN9KZT	all	ok
doi:10.7910/DVN/2CS1VF	all	ok
doi:10.7910/DVN/XHDOZU	all	ok
doi:10.7910/DVN/Z7P7RL	all	ok
doi:10.7910/DVN/BSIFTF	all	ok
doi:10.7910/DVN/BGPIWF	all	ok
doi:10.7910/DVN/OUAYYH	all	ok
doi:10.7910/DVN/GVEKYP	all	ok
doi:10.7910/DVN/VLOHVI	all	ok
doi:10.7910/DVN/IIYGGX	all	ok
doi:10.7910/DVN/ZJQZH5	all	ok
doi:10.7910/DVN/XKMNAO	all	ok
doi:10.7910/DVN/BE99YA	all	ok
doi:10.7910/DVN/KIVXRA	all	ok
doi:10.7910/DVN/OL3EVW	3423670	checksum error
doi:10.7910/DVN/OL3EVW	3423671	checksum error
doi:10.7910/DVN/OL3EVW	3423677	checksum error
doi:10.7910/DVN/QKGBSE	all	ok
doi:10.7910/DVN/D5CQA7	all	ok
doi:10.7910/DVN/DCKXHT	all	ok
doi:10.7910/DVN/XRZW4O	all	ok
doi:10.7910/DVN/FRPRDP	all	ok
doi:10.7910/DVN/9SUPHG	all	ok
doi:10.7910/DVN/I6DUQY	all	ok
doi:10.7910/DVN/R8PNCP	all	ok
doi:10.7910/DVN/FAU3VR	all	ok
doi:10.7910/DVN/PDPQFB	all	ok
doi:10.7910/DVN/JAOQSD	all	ok
doi:10.7910/DVN/HZNJRU	all	ok
doi:10.7910/DVN/XWMSHO	all	ok
doi:10.7910/DVN/XIT20Z	all	ok
doi:10.7910/DVN/XZJRA2	all	ok
doi:10.7910/DVN/GPRVC6	all	ok
doi:10.7910/DVN/HUZ1CD	all	ok
doi:10.7910/DVN/FYJ6YT	all	ok
doi:10.7910/DVN/MWGOZS	all	ok
doi:10.7910/DVN/DAE3PG	all	ok
doi:10.7910/DVN/CXSECU	all	ok
doi:10.7910/DVN/JQEAG2	all	ok
doi:10.7910/DVN/THXYMC	all	ok
doi:10.7910/DVN/RQZ3HJ	all	ok
doi:10.7910/DVN/UHWZXX	all	ok
doi:10.7910/DVN/IK9MQE	all	ok
doi:10.7910/DVN/YBCZHI	all	ok
doi:10.7910/DVN/5XM0XM	all	ok
doi:10.7910/DVN/IIYY15	all	ok
doi:10.7910/DVN/LF9H7Q	all	ok
doi:10.7910/DVN/VTA5OA	all	ok
