,doi,file,r32,r36,r40,result,success,publicationDate,publisher,subject,type,name
5041,doi:10.7910/DVN/VX59QI,montecarlo_bias.R,"Error in axis(side = side, at = at, labels = labels, ...) :   invalid font type","Error in axis(side = side, at = at, labels = labels, ...) :   invalid font type","Error in axis(side = side, at = at, labels = labels, ...) :   invalid font type","Error in axis(side = side, at = at, labels = labels, ...) :   invalid font type",0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
5042,doi:10.7910/DVN/VX59QI,montecarlo_bias_appendix.R,"Error in axis(side = side, at = at, labels = labels, ...) :   invalid font type",success,success,success,1,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
5043,doi:10.7910/DVN/VX59QI,sensitivity_cellphones_replication_appendix.R,"Error in `[.data.frame`(x, r, vars, drop = drop) :   undefined columns selected","Error in `[.data.frame`(x, r, vars, drop = drop) :   undefined columns selected","Error in `[.data.frame`(x, r, vars, drop = drop) :   undefined columns selected","Error in `[.data.frame`(x, r, vars, drop = drop) :   undefined columns selected",0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
5049,doi:10.7910/DVN/TVGIJJ,peskaPARSE.R,"Error in file(file, 'r') : cannot open the connection","Error in file(file, 'r') : cannot open the connection","Error in file(file, 'r') : cannot open the connection","Error in file(file, 'r') : cannot open the connection",0,2020,worldfish,Medicine; Health and Life Sciences,ORGANIZATIONS_INSTITUTIONS,WorldFish Dataverse
5051,doi:10.7910/DVN/XAQMIA,rd.export.R,success,success,success,success,1,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
5053,doi:10.7910/DVN/WHCZJR,JHR_Replication.R,"Error in eval(expr, envir, enclos) : could not find function 'lrm'",Error in lrm(CIRI_PHYSINT ~ Lag_lognonnegUS_fdi_totalpGDP + Lag_logtrade +  :   could not find function 'lrm',Error in lrm(CIRI_PHYSINT ~ Lag_lognonnegUS_fdi_totalpGDP + Lag_logtrade +  :   could not find function 'lrm',Error in lrm(CIRI_PHYSINT ~ Lag_lognonnegUS_fdi_totalpGDP + Lag_logtrade +  :   could not find function 'lrm',0,2018,jhr,Social Sciences,JOURNALS,Journal of Human Rights (JHR)  Dataverse
5056,doi:10.7910/DVN/ZFS7LI,Figure_4.R,"Error in eval(expr, envir, enclos) : could not find function 'Dotplot'",success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5058,doi:10.7910/DVN/ZFS7LI,Figure_A10.R,"Error in eval(expr, envir, enclos) : could not find function 'Dotplot'",success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5059,doi:10.7910/DVN/ZFS7LI,Figure_A11.R,"Error in eval(expr, envir, enclos) : could not find function 'Dotplot'",success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5060,doi:10.7910/DVN/ZFS7LI,Figure_A3.R,Error : could not find function 'betaHPD',success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5061,doi:10.7910/DVN/ZFS7LI,Figure_A4.R,Error : could not find function 'betaHPD',success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
