,doi,file,r32,r36,r40,result,success,publicationDate,publisher,subject,type,name
0,doi:10.7910/DVN/BPON3K,fig_10_effect_of_winning_on_gov.R,"Error in diag(vcovHC(DMareg, type = 'HC3')) :   could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'",0,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
1,doi:10.7910/DVN/BPON3K,fig_11_rd_placebo.R,"Error in ggsave('placebo.pdf', plot = placebo, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
2,doi:10.7910/DVN/BPON3K,fig_12_historical_trend.R,"Error in ggsave('historical_trend.pdf', plot = historical_trend, device = 'pdf',  :   could not find function 'device'",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
3,doi:10.7910/DVN/BPON3K,fig_13_plot_loyalty_df_pct.R,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,0,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
4,doi:10.7910/DVN/BPON3K,fig_14_effect_on_individual_parties.R,"Error in eval(expr, envir, enclos) :   could not find function 'theme_tufte'",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
5,doi:10.7910/DVN/BPON3K,fig_2_fig_4_party_switching.R,"Error in ggsave('rd_change.pdf', plot = rd_change, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
6,doi:10.7910/DVN/BPON3K,fig_3_effect_of_winning_on_federal_congress.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
8,doi:10.7910/DVN/BPON3K,fig_6_nominations.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
9,doi:10.7910/DVN/BPON3K,fig_7_party_switching_by_party_VEREADORES.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
10,doi:10.7910/DVN/BPON3K,fig_8_losing_council.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
11,doi:10.7910/DVN/BPON3K,fig_9_effect_of_winning_on_state_congress.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
12,doi:10.7910/DVN/BPON3K,tab_10_LATE_re_nominations.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
13,doi:10.7910/DVN/BPON3K,tab_11_LATE_nominations_diff_party.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
14,doi:10.7910/DVN/BPON3K,tab_12_LATE_de.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
15,doi:10.7910/DVN/BPON3K,tab_13_LATE_gov.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
16,doi:10.7910/DVN/BPON3K,tab_14_LATE_placebo.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
21,doi:10.7910/DVN/BPON3K,tab_4_LATE_change.R,,success,,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
22,doi:10.7910/DVN/BPON3K,tab_5_LATE_change_attrition.R,,success,,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
23,doi:10.7910/DVN/BPON3K,tab_6_LATE_df.R,,success,,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
25,doi:10.7910/DVN/BPON3K,tab_9_LATE_nominations_overall.R,,success,,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
27,doi:10.7910/DVN/NVRBC9,Lueders_et al_2017_driverslicenses_replicationcode_final.R,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file,0,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
28,doi:10.7910/DVN/NVRBC9,vcovCluster.R,success,success,success,success,1,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
29,doi:10.7910/DVN/WCTILJ,Script.R,"Error in ifelse(!require(readxl), install.packages('readxl', dependencies = TRUE),  :   replacement has length zero",Error : `path` does not exist: 'diretrio',Error : `path` does not exist: 'diretrio',Error : `path` does not exist: 'diretrio',0,2020,harvard,Business and Management;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
30,doi:10.7910/DVN/LRSICH,Chapter7Master.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0,2018,SpaceBetweenUs,Social Sciences,RESEARCH_PROJECTS,Space Between Us Dataverse
31,doi:10.7910/DVN/LRSICH,TableA26.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0,2018,SpaceBetweenUs,Social Sciences,RESEARCH_PROJECTS,Space Between Us Dataverse
32,doi:10.7910/DVN/LRSICH,TableA27.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0,2018,SpaceBetweenUs,Social Sciences,RESEARCH_PROJECTS,Space Between Us Dataverse
33,doi:10.7910/DVN/LRSICH,TableA28.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0,2018,SpaceBetweenUs,Social Sciences,RESEARCH_PROJECTS,Space Between Us Dataverse
34,doi:10.7910/DVN/LRSICH,TableA29Figure7_4.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0,2018,SpaceBetweenUs,Social Sciences,RESEARCH_PROJECTS,Space Between Us Dataverse
35,doi:10.7910/DVN/LRSICH,TableA30.r,"Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'",Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',Error in estfun(fm) : could not find function 'estfun',0,2018,SpaceBetweenUs,Social Sciences,RESEARCH_PROJECTS,Space Between Us Dataverse
38,doi:10.7910/DVN/TKTN5J,1_Prep the data.R,,success,success,success,1,2017,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
45,doi:10.7910/DVN/TKTN5J,AP - Multigrid.R,,success,success,success,1,2017,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
46,doi:10.7910/DVN/TKTN5J,x_Auxiliary Functions.R,,success,success,success,1,2017,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
52,doi:10.7910/DVN/KKS1R0,ep_jags_functions.R,success,success,,success,1,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
61,doi:10.7910/DVN/MDAHHQ,calculate_total_covid19_deaths_usa.R,success,success,,success,1,2020,south_korea_covid19,Medicine; Health and Life Sciences,RESEARCHERS,Samir Soneji Dataverse
62,doi:10.7910/DVN/QKP9EJ,code2.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
63,doi:10.7910/DVN/QKP9EJ,code3.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
64,doi:10.7910/DVN/QKP9EJ,code5.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
65,doi:10.7910/DVN/QKP9EJ,code7.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
66,doi:10.7910/DVN/QKP9EJ,code8.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
67,doi:10.7910/DVN/QKP9EJ,fine_grid.R,success,success,success,success,1,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
68,doi:10.7910/DVN/QKP9EJ,summarySE.R,success,success,success,success,1,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
71,doi:10.7910/DVN/15YF0R,inter.binning.90.R,success,,,success,1,2018,mbuntaine,Social Sciences,RESEARCHERS,Mark Buntaine Dataverse
72,doi:10.7910/DVN/15YF0R,multiplot.R,success,,,success,1,2018,mbuntaine,Social Sciences,RESEARCHERS,Mark Buntaine Dataverse
73,doi:10.7910/DVN/15YF0R,ols.R,success,,,success,1,2018,mbuntaine,Social Sciences,RESEARCHERS,Mark Buntaine Dataverse
81,doi:10.7910/DVN/YM7IWP,01_itanes.R,"Error in eval(expr, envir, enclos) : could not find function 'read_sav'","Error in df_parse_sav_file(spec, encoding, user_na) :   Failed to parse /usr/workdir/ITA1996_(itvers2005).sav: The file's timestamp string is invalid.","Error in df_parse_sav_file(spec, encoding, user_na, cols_skip, n_max,  :   Failed to parse /usr/workdir/ITA1996_(itvers2005).sav: The file's timestamp string is invalid.","Error in df_parse_sav_file(spec, encoding, user_na) :   Failed to parse /usr/workdir/ITA1996_(itvers2005).sav: The file's timestamp string is invalid.",0,2016,fbailo,Social Sciences,UNCATEGORIZED,Francesco Bailo Dataverse
92,doi:10.7910/DVN/XRR0HM,wordfish_rank_plot_apriori_ordering.R,,success,success,success,1,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
93,doi:10.7910/DVN/HXNVTQ,usa-decomp-plots.R,Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory',0,2017,samharper,Medicine; Health and Life Sciences;Social Sciences,RESEARCHERS,Sam Harper Dataverse
94,doi:10.7910/DVN/SNQG8P,naes_ft.r,"Error in eval(expr, envir, enclos) : could not find function 'cem'","Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'","Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'","Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'",0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
95,doi:10.7910/DVN/FAH6KL,Visconti (2018) - LegislativeRepresentation.R,Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory',0,2018,ipsr-risp,Social Sciences,JOURNALS,Italian Political Science Review (IPSR/RISP) Dataverse
96,doi:10.7910/DVN/WCXK3Z,collect-data.r,"Error in eval(expr, envir, enclos) :   could not find function 'install_github'",Error in install_github('SMAPPNYU/smappR') :   could not find function 'install_github',Error in install_github('SMAPPNYU/smappR') :   could not find function 'install_github',Error in install_github('SMAPPNYU/smappR') :   could not find function 'install_github',0,2015,smapp,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Social Media and Political Participation Lab Dataverse
97,doi:10.7910/DVN/VT4KJA,ivsensianalysis.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'",Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13',Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13',Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13',0,2016,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
98,doi:10.7910/DVN/8OKVHY,mdr_politicization_appendix_figures.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'","Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'","Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'","Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'",0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
99,doi:10.7910/DVN/8OKVHY,mdr_politicization_jop_bootstrap_figures.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'","Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions","Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions","Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions",0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
100,doi:10.7910/DVN/8OKVHY,mdr_politicization_jop_mission_coding.R,"Error in eval(expr, envir, enclos) : could not find function 'read.xlsx2'","Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'","Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'","Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'",0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
101,doi:10.7910/DVN/8OKVHY,mdr_politicization_rep_dem_barplots.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'","Error in table(x$rep, x$pol_app1) :   all arguments must have the same length","Error in table(x$rep, x$pol_app1) :   all arguments must have the same length","Error in table(x$rep, x$pol_app1) :   all arguments must have the same length",0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
104,doi:10.7910/DVN/FTYHPJ,PartisanSymMeasures.functions.R,,success,success,success,1,2019,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
105,doi:10.7910/DVN/JJJXLV,BasSchub_JCR_Replication.R,Error in ptr() : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
106,doi:10.7910/DVN/ERMN4H,replication code.R,"Error in eval(expr, envir, enclos) : could not find function 'p_load'","Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'","Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'","Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'",0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
107,doi:10.7910/DVN/8TB7GO,evaluate_bounds.R,"Error in eval(expr, envir, enclos) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1","Error in eval(ei, envir) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1","Error in eval(ei, envir) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1","Error in eval(ei, envir) :   Missing arguments: Provide DD threshold and path to split 0 and path to split 1",0,2019,king,Computer and Information Science;Mathematical Sciences;Social Sciences,RESEARCHERS,Gary King Dataverse
108,doi:10.7910/DVN/8TB7GO,example_simulations.R,"Error in calculateAndEvaluateBounds(generatedData$x, generatedData$t,  :   could not find function 'vcovHC'","Error in vcovHC(reg, 'HC1') : could not find function 'vcovHC'","Error in vcovHC(reg, 'HC1') : could not find function 'vcovHC'","Error in vcovHC(reg, 'HC1') : could not find function 'vcovHC'",0,2019,king,Computer and Information Science;Mathematical Sciences;Social Sciences,RESEARCHERS,Gary King Dataverse
109,doi:10.7910/DVN/8TB7GO,generate_bounds_for_all_datasets.R,"Error in eval(expr, envir, enclos) :   Missing arguments: Provide split number (0 or 1) and path to root directory","Error in eval(ei, envir) :   Missing arguments: Provide split number (0 or 1) and path to root directory","Error in eval(ei, envir) :   Missing arguments: Provide split number (0 or 1) and path to root directory","Error in eval(ei, envir) :   Missing arguments: Provide split number (0 or 1) and path to root directory",0,2019,king,Computer and Information Science;Mathematical Sciences;Social Sciences,RESEARCHERS,Gary King Dataverse
110,doi:10.7910/DVN/8TB7GO,generate_figures.R,"Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)","Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)","Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)","Error in basename(file.path(SAVEDIR, sprintf('fig1_intution.pdf')), height = kFigureWidth,  :   unused arguments (height = kFigureWidth, width = kFigureWidth)",0,2019,king,Computer and Information Science;Mathematical Sciences;Social Sciences,RESEARCHERS,Gary King Dataverse
111,doi:10.7910/DVN/PTPGED,GIGANTEA.R,success,success,success,success,1,2018,harvard,Computer and Information Science,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
112,doi:10.7910/DVN/PTPGED,RunGenomeBasedModel.R,Error in Rcpp::sourceCpp('GIGANTEA.cpp') :   Error 1 occurred building shared library.,"Error in GenomeBasedModel(Input, Freevec, Y, Missing, Np, Geno, Methodcode,  :   could not find function 'GenomeBasedModel'","Error in GenomeBasedModel(Input, Freevec, Y, Missing, Np, Geno, Methodcode,  :   could not find function 'GenomeBasedModel'","Error in GenomeBasedModel(Input, Freevec, Y, Missing, Np, Geno, Methodcode,  :   could not find function 'GenomeBasedModel'",0,2018,harvard,Computer and Information Science,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
113,doi:10.7910/DVN/JNFMNQ,JOP_table 3.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
114,doi:10.7910/DVN/JNFMNQ,JOP_tables 1 and 2.R,Error in file.choose() : file choice cancelled,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
115,doi:10.7910/DVN/9M6EHS,Indicator_Calculation_Mother_Script.R,"Error in gsub('.*_', '', project_ID) : object 'project_ID' not found","Error in gsub('.*_', '', project_ID) : object 'project_ID' not found","Error in gsub('.*_', '', project_ID) : object 'project_ID' not found","Error in gsub('.*_', '', project_ID) : object 'project_ID' not found",0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
116,doi:10.7910/DVN/9M6EHS,Livestock_Product_Calculations.R,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
117,doi:10.7910/DVN/9M6EHS,Off_farm_gender.R,"Error in eval(expr, envir, enclos) : object 'dat_all' not found","Error in eval(ei, envir) : object 'dat_all' not found","Error in eval(ei, envir) : object 'dat_all' not found","Error in eval(ei, envir) : object 'dat_all' not found",0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
118,doi:10.7910/DVN/9M6EHS,Parcelles_Land_Area.R,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,Error in is.data.frame(x) : object 'dat_all' not found,0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
119,doi:10.7910/DVN/9M6EHS,Prices.R,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
120,doi:10.7910/DVN/9M6EHS,REVERSE_TRUE_FALSE_SCRIPT.R,success,success,success,success,1,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
121,doi:10.7910/DVN/9M6EHS,Setting_Universal_Units.R,success,success,success,success,1,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
122,doi:10.7910/DVN/9M6EHS,TRUE_FALSE_SCRIPT.R,success,success,success,success,1,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
123,doi:10.7910/DVN/9M6EHS,Total_Incomes.R,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,Error in data.frame(livestock_income = livestock_income) :   object 'livestock_income' not found,0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
124,doi:10.7910/DVN/9M6EHS,Value_Calculations.R,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,Error in nrow(dat_all) : object 'dat_all' not found,0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
125,doi:10.7910/DVN/9M6EHS,Whole_Livestock_Calculations.R,"Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found","Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found","Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found","Error in data.frame(coeff_cattle * as.numeric(dat_all$livestock_heads_cattle),  :   object 'coeff_cattle' not found",0,2020,harvard,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
126,doi:10.7910/DVN/CDFEGV,GenMatchCode.R,"Error in eval(expr, envir, enclos) : could not find function 'GenMatch'","Error in GenMatch(fit.func = lower.bound, Tr = college, X = Xmat, BalanceMatrix = out,  :   could not find function 'GenMatch'","Error in GenMatch(fit.func = lower.bound, Tr = college, X = Xmat, BalanceMatrix = out,  :   could not find function 'GenMatch'","Error in GenMatch(fit.func = lower.bound, Tr = college, X = Xmat, BalanceMatrix = out,  :   could not find function 'GenMatch'",0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
128,doi:10.7910/DVN/CDFEGV,funcs.R,success,success,success,success,1,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
129,doi:10.7910/DVN/8W0PXP,mexcrimpro20180216.R,"Error in eval(expr, envir, enclos) : could not find function 'readOGR'","Error in readOGR(dsn = 'shapefiles', layer = 'Mexico_congruence') :   could not find function 'readOGR'","Error in readOGR(dsn = 'shapefiles', layer = 'Mexico_congruence') :   could not find function 'readOGR'","Error in readOGR(dsn = 'shapefiles', layer = 'Mexico_congruence') :   could not find function 'readOGR'",0,2018,LAPS,Computer and Information Science;Law;Social Sciences,JOURNALS,Latin American Politics and Society Dataverse
131,doi:10.7910/DVN/CL183T,TextMiningScript.R,"Error in eval(expr, envir, enclos) : could not find function 'Corpus'",Error in Corpus(DirSource(cname)) : could not find function 'Corpus',Error in Corpus(DirSource(cname)) : could not find function 'Corpus',Error in Corpus(DirSource(cname)) : could not find function 'Corpus',0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
132,doi:10.7910/DVN/MTBJ3S,GMC_plots_immigrationfact.R,"Error in ggtitle('Migrant apprehensions in El Paso, San Diego, and Tucson sectors',  :   unused argument (subtitle = 'FY 1989-2019 (adjusted for FUA and UCA data)')","Error in grid.arrange(threeS, tuxon, remains, westward, ncol = 2, nrow = 2,  :   could not find function 'grid.arrange'","Error in grid.arrange(threeS, tuxon, remains, westward, ncol = 2, nrow = 2,  :   could not find function 'grid.arrange'","Error in grid.arrange(threeS, tuxon, remains, westward, ncol = 2, nrow = 2,  :   could not find function 'grid.arrange'",0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
133,doi:10.7910/DVN/TWHEZ9,Campbell_Detecting_PA_2018_Replication.R,"Error in eval(expr, envir, enclos) :   could not find function 'sim_egonets'","Error in sim_egonets(form = c('edges', 'gwesp(0.8,fixed=TRUE)', 'gwdegree(decay=0.8,fixed=TRUE)'),  :   could not find function 'sim_egonets'","Error in sim_egonets(form = c('edges', 'gwesp(0.8,fixed=TRUE)', 'gwdegree(decay=0.8,fixed=TRUE)'),  :   could not find function 'sim_egonets'","Error in sim_egonets(form = c('edges', 'gwesp(0.8,fixed=TRUE)', 'gwdegree(decay=0.8,fixed=TRUE)'),  :   could not find function 'sim_egonets'",0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
